Year,Region,State,District,Population,Plastic Waste (kg),Plastic Type,Source
2015,India,Karnataka,Siliguri,3873614,11281.518276933102,Other,Packaging
2020,India,Karnataka,Howrah,9447578,47063.61802588295,Other,Household
2022,India,Nagaland,Varanasi,219600,2793.547594296426,PP,Packaging
2016,India,Nagaland,Siliguri,5080591,16013.92569099175,PP,Packaging
2018,India,Gujarat,Varanasi,5929496,6310.392474145743,PVC,Packaging
2017,India,Gujarat,Siliguri,4041868,12349.049256843098,PVC,Industrial
2019,India,Karnataka,Siliguri,1906641,1860.3718813448354,Other,Industrial
2019,India,Gujarat,Siliguri,5470830,33930.9458270508,Other,Packaging
2024,India,Karnataka,Siliguri,8140309,35733.23745545878,PVC,Industrial
2019,India,Nagaland,Siliguri,945480,15251.86409936946,PP,Packaging
2023,India,Nagaland,Varanasi,9516048,49185.90692841004,Other,Industrial
2023,India,Karnataka,Howrah,3969453,48075.02971758477,PVC,Industrial
2016,India,Karnataka,Siliguri,1386002,43065.92732954602,Other,Industrial
2023,India,Gujarat,Howrah,7740468,30740.05521784236,PVC,Industrial
2021,India,Gujarat,Varanasi,6214310,10525.686648207167,Other,Industrial
2019,India,Gujarat,Howrah,6864488,22338.553398202606,PP,Household
2020,India,Gujarat,Siliguri,79147,39934.44531587722,PP,Industrial
2024,India,Nagaland,Howrah,844196,27695.953785757254,Other,Packaging
2023,India,Gujarat,Siliguri,2501274,31857.26971093642,PVC,Household
2020,India,Nagaland,Varanasi,7958245,7411.225754031043,Other,Industrial
2019,India,Nagaland,Howrah,9522235,8094.760928388169,Other,Packaging
2017,India,Nagaland,Varanasi,2459616,1168.3822263333795,Other,Industrial
2021,India,Karnataka,Siliguri,2509597,12420.195109970025,Other,Industrial
2022,India,Gujarat,Howrah,3106971,6172.524847692534,PVC,Industrial
2015,India,Gujarat,Varanasi,3896956,19453.534838856358,PP,Household
2016,India,Nagaland,Siliguri,1234549,4547.329136904254,PP,Packaging
2017,India,Gujarat,Howrah,7583178,27239.701750666205,PVC,Industrial
2021,India,Karnataka,Howrah,1996257,5973.888936291912,PP,Industrial
2015,India,Nagaland,Siliguri,706137,44717.49079982358,PVC,Industrial
2024,India,Karnataka,Varanasi,7624442,14227.108142732166,PP,Household
2017,India,Nagaland,Siliguri,4550782,26328.639946686344,PVC,Packaging
2021,India,Nagaland,Siliguri,369666,11649.007105241499,PP,Household
2015,India,Karnataka,Howrah,3222293,33641.06294866709,PP,Industrial
2022,India,Gujarat,Howrah,606396,7773.302045738277,PP,Household
2020,India,Karnataka,Varanasi,713097,29275.464057387882,PVC,Household
2023,India,Karnataka,Varanasi,3256145,8578.429281969336,PVC,Industrial
2018,India,Gujarat,Howrah,9039885,28524.20532332967,PP,Packaging
2015,India,Gujarat,Varanasi,679572,33871.1443033554,Other,Packaging
2024,India,Gujarat,Varanasi,2738580,12309.65407881626,PVC,Packaging
2023,India,Nagaland,Varanasi,3645467,14622.331081537544,Other,Packaging
2024,India,Karnataka,Varanasi,6833463,4766.51490365646,PP,Household
2021,India,Karnataka,Varanasi,1499940,7123.836395690741,PP,Packaging
2020,India,Karnataka,Siliguri,7970898,30213.131542319952,PP,Packaging
2024,India,Nagaland,Varanasi,4092881,10385.37925312272,Other,Industrial
